X÷·,Y÷·,Z÷·
4528.413,4291.843,0.55
4511.498,4281.172,0.55
4494.583,4270.500,0.55
4477.667,4259.830,0.55
4460.749,4249.163,0.55
4443.830,4238.497,0.55
4426.908,4227.837,0.55
4409.979,4217.187,0.55
4393.046,4206.544,0.55
4376.096,4195.929,0.55
4359.137,4185.327,0.55
4342.162,4174.751,0.55
4325.166,4164.210,0.55
4308.157,4153.689,0.55
4291.108,4143.233,0.55
4274.041,4132.805,0.55
4256.933,4122.446,0.55
4239.778,4112.166,0.55
4222.585,4101.948,0.55
4205.309,4091.871,0.55
4187.954,4081.931,0.55
4170.519,4072.133,0.55
4152.991,4062.501,0.55
4135.352,4053.074,0.55
4117.600,4043.863,0.55
4099.756,4034.831,0.55
4081.833,4025.957,0.55
4063.843,4017.219,0.55
4045.791,4008.608,0.55
4027.691,4000.102,0.55
4009.561,3991.657,0.55
3991.403,3983.273,0.55
3973.206,3974.975,0.55
3954.994,3966.709,0.55
3936.753,3958.507,0.55
3918.493,3950.348,0.55
3900.216,3942.226,0.55
3881.917,3934.157,0.55
3863.608,3926.108,0.55
3845.275,3918.114,0.55
3826.936,3910.134,0.55
3808.575,3902.203,0.55
3790.209,3894.287,0.55
3771.826,3886.409,0.55
3753.434,3878.551,0.55
3735.034,3870.714,0.55
3716.622,3862.903,0.55
3698.208,3855.097,0.55
3679.781,3847.322,0.55
3661.354,3839.547,0.55
3642.919,3831.793,0.55
3624.480,3824.045,0.55
3606.039,3816.304,0.55
3587.593,3808.575,0.55
3569.147,3800.846,0.55
3550.696,3793.127,0.55
3532.245,3785.410,0.55
3513.794,3777.694,0.55
3495.341,3769.980,0.55
3476.888,3762.267,0.55
3458.436,3754.551,0.55
3439.985,3746.836,0.55
3421.534,3739.116,0.55
3403.086,3731.393,0.55
3384.637,3723.670,0.55
3366.190,3715.942,0.55
3347.744,3708.214,0.55
3329.297,3700.485,0.55
3310.851,3692.757,0.55
3292.405,3685.029,0.55
3273.956,3677.304,0.55
3255.508,3669.580,0.55
3237.058,3661.860,0.55
3218.606,3654.145,0.55
3200.154,3646.430,0.55
3181.697,3638.727,0.55
3163.240,3631.024,0.55
3144.779,3623.331,0.55
3126.315,3615.645,0.55
3107.850,3607.959,0.55
3089.378,3600.293,0.55
3070.905,3592.628,0.55
3052.428,3584.972,0.55
3033.947,3577.328,0.55
3015.465,3569.685,0.55
2996.978,3562.053,0.55
2978.490,3554.424,0.55
2960.002,3546.797,0.55
2941.511,3539.175,0.55
2923.021,3531.553,0.55
2904.530,3523.930,0.55
2886.040,3516.306,0.55
2867.550,3508.682,0.55
2849.064,3501.049,0.55
2830.579,3493.414,0.55
2812.097,3485.771,0.55
2793.620,3478.115,0.55
2775.144,3470.459,0.55
2756.681,3462.770,0.55
2738.218,3455.080,0.55
2719.772,3447.351,0.55
2701.331,3439.610,0.55
2682.913,3431.815,0.55
2664.503,3424.000,0.55
2646.129,3416.101,0.55
2627.771,3408.164,0.55
2609.450,3400.142,0.55
2591.177,3392.013,0.55
2572.949,3383.782,0.55
2554.782,3375.419,0.55
2536.691,3366.892,0.55
2518.690,3358.176,0.55
2500.788,3349.259,0.55
2482.994,3340.130,0.55
2465.327,3330.757,0.55
2447.814,3321.099,0.55
2430.487,3311.110,0.55
2413.406,3300.709,0.55
2396.623,3289.833,0.55
2380.166,3278.470,0.55
2364.152,3266.493,0.55
2348.666,3253.841,0.55
2333.742,3240.530,0.55
2319.542,3226.449,0.55
2305.971,3211.763,0.55
2293.058,3196.493,0.55
2280.777,3180.710,0.55
2269.009,3164.540,0.55
2257.728,3148.027,0.55
2246.967,3131.170,0.55
2236.725,3113.993,0.55
2226.987,3096.525,0.55
2217.809,3078.757,0.55
2209.264,3060.676,0.55
2201.269,3042.344,0.55
2193.923,3023.744,0.55
2187.114,3004.940,0.55
2180.900,2985.931,0.55
2175.224,2966.754,0.55
2170.207,2947.395,0.55
2165.743,2927.900,0.55
2161.933,2908.267,0.55
2158.630,2888.543,0.55
2155.873,2868.735,0.55
2153.577,2848.868,0.55
2151.695,2828.957,0.55
2150.273,2809.008,0.55
2149.226,2789.036,0.55
2148.536,2769.048,0.55
2148.189,2749.052,0.55
2148.176,2729.052,0.55
2148.436,2709.054,0.55
2148.949,2689.061,0.55
2149.703,2669.075,0.55
2150.722,2649.101,0.55
2151.964,2629.140,0.55
2153.430,2609.194,0.55
2155.144,2589.268,0.55
2157.097,2569.364,0.55
2159.264,2549.481,0.55
2161.657,2529.625,0.55
2164.286,2509.799,0.55
2167.185,2490.011,0.55
2170.461,2470.281,0.55
2174.185,2450.632,0.55
2178.394,2431.081,0.55
2183.239,2411.678,0.55
2188.701,2392.440,0.55
2194.644,2373.344,0.55
2201.016,2354.386,0.55
2207.608,2335.504,0.55
2214.295,2316.655,0.55
2220.901,2297.777,0.55
2227.356,2278.848,0.55
2233.756,2259.899,0.55
2240.203,2240.967,0.55
2246.801,2222.087,0.55
2253.634,2203.291,0.55
2260.687,2184.575,0.55
2267.944,2165.939,0.55
2275.420,2147.389,0.55
2283.083,2128.915,0.55
2290.961,2110.532,0.55
2299.028,2092.231,0.55
2307.301,2074.023,0.55
2315.777,2055.908,0.55
2324.437,2037.880,0.55
2333.317,2019.960,0.55
2342.373,2002.128,0.55
2351.585,1984.376,0.55
2360.962,1966.710,0.55
2370.474,1949.117,0.55
2380.128,1931.602,0.55
2389.946,1914.177,0.55
2399.966,1896.869,0.55
2410.208,1879.691,0.55
2420.639,1862.626,0.55
2431.200,1845.642,0.55
2441.819,1828.694,0.55
2452.499,1811.784,0.55
2463.250,1794.919,0.55
2474.085,1778.109,0.55
2485.024,1761.366,0.55
2496.091,1744.706,0.55
2507.318,1728.156,0.55
2518.769,1711.758,0.55
2530.430,1695.510,0.55
2542.259,1679.383,0.55
2554.216,1663.351,0.55
2566.234,1647.364,0.55
2578.238,1631.368,0.55
2590.171,1615.318,0.55
2602.060,1599.234,0.55
2613.941,1583.146,0.55
2625.855,1567.082,0.55
2637.837,1551.069,0.55
2649.917,1535.129,0.55
2662.131,1519.292,0.55
2674.499,1503.575,0.55
2687.003,1487.966,0.55
2699.645,1472.468,0.55
2712.445,1457.100,0.55
2725.379,1441.846,0.55
2738.453,1426.711,0.55
2751.679,1411.709,0.55
2765.030,1396.818,0.55
2778.506,1382.039,0.55
2792.100,1367.370,0.55
2805.788,1352.788,0.55
2819.569,1338.293,0.55
2833.452,1323.897,0.55
2847.436,1309.599,0.55
2861.523,1295.402,0.55
2875.711,1281.305,0.55
2889.994,1267.306,0.55
2904.365,1253.397,0.55
2918.814,1239.568,0.55
2933.325,1225.805,0.55
2947.881,1212.089,0.55
2962.467,1198.405,0.55
2977.076,1184.745,0.55
2991.706,1171.109,0.55
3006.342,1157.479,0.55
3020.988,1143.859,0.55
3035.637,1130.243,0.55
3050.289,1116.630,0.55
3064.942,1103.017,0.55
3079.595,1089.405,0.55
8285.317,6197.472,0.55
8267.864,6187.704,0.55
8250.412,6177.936,0.55
8232.959,6168.169,0.55
8215.507,6158.401,0.55
8198.054,6148.633,0.55
8180.602,6138.865,0.55
8163.229,6128.956,0.55
8145.863,6119.036,0.55
8128.497,6109.115,0.55
8111.131,6099.194,0.55
8093.765,6089.273,0.55
8076.431,6079.296,0.55
8059.159,6069.214,0.55
8041.886,6059.132,0.55
8024.613,6049.050,0.55
8007.340,6038.968,0.55
7990.095,6028.838,0.55
7972.921,6018.588,0.55
7955.747,6008.339,0.55
7938.573,5998.090,0.55
7921.399,5987.840,0.55
7904.296,5977.473,0.55
7887.224,5967.054,0.55
7870.153,5956.634,0.55
7853.082,5946.215,0.55
7836.064,5935.708,0.55
7819.096,5925.121,0.55
7802.128,5914.533,0.55
7785.161,5903.945,0.55
7768.265,5893.244,0.55
7751.397,5882.497,0.55
7734.530,5871.751,0.55
7717.685,5860.970,0.55
7700.908,5850.082,0.55
7684.131,5839.195,0.55
7667.358,5828.301,0.55
7650.659,5817.295,0.55
7633.960,5806.289,0.55
7617.268,5795.271,0.55
7600.644,5784.152,0.55
7584.020,5773.033,0.55
7567.421,5761.876,0.55
7550.870,5750.647,0.55
7534.320,5739.419,0.55
7517.819,5728.117,0.55
7501.336,5716.790,0.55
7484.867,5705.442,0.55
7468.441,5694.032,0.55
7452.016,5682.622,0.55
7435.624,5671.162,0.55
7419.240,5659.691,0.55
7402.867,5648.206,0.55
7386.508,5636.701,0.55
7370.149,5625.195,0.55
7353.795,5613.682,0.55
7337.442,5602.168,0.55
7321.084,5590.661,0.55
7304.722,5579.159,0.55
